HMS-Beagle2 Gypsy
FB  Mariner/Tc1
17.6    Gypsy-like
3S18    BEL
accord  Gypsy
accord2 Gypsy
aurora-element  copia-like
blood   Gypsy/TABOR
Burdock Gypsy
Circe   Circe
copia   Copia
diver2  BEL
Dmel\1731   Copia
Dmel\297    Gypsy
Dmel\412    Gypsy/TABOR
Dmel\Dm88   Copia
Dmel\Max-element    BEL-PAO
Dmel\Y-element  Y
flea    Gypsy/INVADER
frogger Copia
GATE    BEL
gtwin   Gypsy
gypsy   Gypsy
gypsy10 Gypsy
gypsy11 Gypsy/TABOR
gypsy12 Gypsy
gypsy2  Gypsy
gypsy3  Gypsy
gypsy4  Gypsy
gypsy5  Gypsy
gypsy6  Gypsy
gypsy7  Gypsy
gypsy8  Gypsy
gypsy9  Gypsy
HMS-Beagle  Gypsy
Idefix  Gypsy
invader1    Gypsy/INVADER
invader2    Gypsy/INVADER
invader3    Gypsy/INVADER
invader4    Gypsy/INVADER
invader5    Gypsy/INVADER
invader6    Gypsy/INVADER
McClintock  Gypsy
mdg1    Gypsy/TABOR
mdg3    Gypsy/INVADER
micropia    Gypsy/INVADER
ninja-Dsim-like BEL/PAO
opus    Gypsy
Quasimodo   Gypsy
R1-2    R1
roo BEL
rooA    BEL
rover   Gypsy
springer   Copia
Stalker Gypsy
Stalker2    Gypsy/TABOR
Stalker3    Gypsy/TABOR
Stalker4    Gypsy
Tabor   Gypsy/TABOR
Tirant  Gypsy
Tom1    Gypsy
Transpac    Gypsy
Xanthias    Xanthias
ZAM Gypsy
diver   BEL
baggins LOA
BS  JOCKEY
BS4 JOCKEY
Cr1a
Dmel\BS3
Dmel\Doc2-element
Dmel\Doc3-element
Dmel\Doc4-element
Dmel\F-element
Dmel\G-element
Dmel\I-element
Dmel\Q-element
Dmel\R1A1-element
Dmel\R2-element
Dmel\X-element
Doc Jockey
Fw2 Jockey
Fw3 Jockey
G2  Jockey
G3  Jockey
G4  Jockey
G5  Jockey
G5A Jockey
G6  Jockey
G7  Jockey
Helena  Jockey
HeT-A   Jockey
Ivk Jockey
jockey  Jockey
jockey2 Jockey
Juan    Jockey
Porto1  Jockey
Rt1a    R1
Rt1b    R1
Rt1c    R1
TART-A  Jockey
TART-B  Jockey
TART-C  Jockey?
X-element   Jockey?
Bari1   Mariner/Tc1
Bari2   Mariner/Tc1?
Dmel\1360   P-like/HOPPEL/PROTOP
Dmel\S-element  Mariner-Tc1
HB  Mariner/Tc1
hobo    hAT
hopper  Transib
hopper2 Transib
looper1 piggyBac
mariner2    Mariner/Tc1
NOF MuDR
P-element   P
pogo    Mariner/Tc1
S2  Mariner/Tc1
Tc1 Mariner/Tc1
Tc1-2   Mariner/Tc1
Tc3 Mariner/Tc1?
transib1    Transib
transib2    Transib
transib3    Transib
transib4    Transib
INE-1   Helitron
