#SUBMITTED ID	COMPLETE_ELEMENT	COPY_NUMBER_AND_COMMENTS	TSD_SIZE	TERMINAL_REPEAT	TRANSPOSON_TYPE	TELOMERIC
HMS-Beagle2	-	-	-	-	-	-
FB	1492 , variable	Approximately 24. , 32 in euchromatin of Release 3 genome annotation, of which 13 are full length. , 40	9	-	foldback_element	-
17.6	7439	TE copies retrieved from release 5.1 of the D. melanogaster genome.:19 , 12 in euchromatin of Release 3 genome annotation, of which 7 are full length. , 40 (FBrf0040123)	4	512	LTR_retrotransposon	-
3S18	6126 , 6126 (FBrf0081893)	Approximately 15-25 , 6 in euchromatin of Release 3 genome annotation, of which 4 are full length. , Approximately 25 , Approximately 15 (FBrf0043377) or approximately 25 (FBrf0040134)	5 , 5 (FBrf0041384)	361 , 361 (FBrf0081893)	LTR_retrotransposon	-
accord	7404	1 in euchromatin of Release 3 genome annotation.	4	-	LTR_retrotransposon	-
accord2	7650	1 in euchromatin of Release 3 genome annotation.	-	-	LTR_retrotransposon	-
aurora-element	5kb , 4263	3 in euchromatin of Release 3 genome annotation, of which 1 is full length.	17-18 , 5	234	LTR_retrotransposon	-
blood	7.4kb , 7410	TE copies retrieved from release 5.1 of the D. melanogaster genome.:24 , 22 in euchromatin of Release 3 genome annotation, of which all are full length. , 9-15	4	400	LTR_retrotransposon	-
Burdock	6411	6411 in euchromatin of Release 3 genome annotation, of which 13 are full length.	4 , 12 , 4 (TATA in the case of the insertions into the ct hotspot)	277	LTR_retrotransposon	-
Circe	7450	6356 in euchromatin of Release 3 genome annotation, of which 2 are full length.	-	240	LTR_retrotransposon	-
copia	5146	5143 in euchromatin of Release 3 genome annotation, of which 30 are full length. , 60 (Finnegan et al., 1978; Potter et al., 1979)	5	276	LTR_retrotransposon	-
diver2	4917	9 in euchromatin of Release 3 genome annotation, of which zero are full length.	-	-	LTR_retrotransposon	-
Dmel\1731	4648 , 4648 (FBrf0045155)	TE copies retrieved from release 5.1 of the D. melanogaster genome.:11 , 2 in euchromatin of Release 3 genome annotation, of which 1 is full length. , 10	5 , 5 (FBrf0045155)	336	LTR_retrotransposon	-
Dmel\297	6995	TE copies retrieved from release 5.1 of the D. melanogaster genome.:77 , 57 in euchromatin of Release 3 genome annotation, of which 18 are full length. , Approximately 30 (FBrf0032823)	4	415	LTR_retrotransposon	-
Dmel\412	7.6kb (FBrf0041380) , 7566	TE copies retrieved from release 5.1 of the D. melanogaster genome.:36 , 31 in euchromatin of Release 3 genome annotation, of which 24 are full length. , 40 (FBrf0036946)	4 , 4 (FBrf0036946)	481 or 571 (FBrf0036946)	LTR_retrotransposon	-
Dmel\Dm88	4558	32 in euchromatin of Release 3 genome annotation, of which zero are full length.	3	-	LTR_retrotransposon	-
Dmel\Max-element	-	-	5	-	LTR_retrotransposon	-
Dmel\Y-element	-	-	-	-	LTR_retrotransposon	-
flea	5034 , 4.8kb	17 in euchromatin of Release 3 genome annotation, of which 13 are full length. , 30	-	-	LTR_retrotransposon	-
frogger	2483	1 in euchromatin of Release 3 genome annotation.	-	-	LTR_retrotransposon	-
GATE	8507	20 in euchromatin of Release 3 genome annotation, of which zero are full length.	-	-	LTR_retrotransposon	-
gtwin	7411	6 in euchromatin of Release 3 genome annotation, of which 2 are full length.	4	-	LTR_retrotransposon	-
gypsy	7469	TE copies retrieved from release 5.1 of the D. melanogaster genome.:11 , 2 in euchromatin of Release 3 genome annotation, of which 1 is full length. , 10 (Bayev et al.; Freund and Meselson, 1984).	4	482	LTR_retrotransposon	-
gypsy10	-	-	-	-	LTR_retrotransposon	-
gypsy11	-	-	-	-	LTR_retrotransposon	-
gypsy12	-	-	4	-	LTR_retrotransposon	-
gypsy2	6841	3 in euchromatin of Release 3 genome annotation, of which 1 is full length.	4	-	LTR_retrotransposon	-
gypsy3	6973	2 in euchromatin of Release 3 genome annotation, of which 1 is full length.	-	-	LTR_retrotransposon	-
gypsy4	6852	2 in euchromatin of Release 3 genome annotation, of which 1 is full length.	-	-	LTR_retrotransposon	-
gypsy5	7369	2 in euchromatin of Release 3 genome annotation, of which 1 is full length.	4	-	LTR_retrotransposon	-
gypsy6	7826	1 in euchromatin of Release 3 genome annotation.	-	-	LTR_retrotransposon	-
gypsy7	-	-	-	-	LTR_retrotransposon	-
gypsy8	-	-	-	-	LTR_retrotransposon	-
gypsy9	-	-	-	-	LTR_retrotransposon	-
HMS-Beagle	7062 , 7.3kb	13 in euchromatin of Release 3 genome annotation, of which 9 are full length. , 50	4	266	LTR_retrotransposon	-
Idefix	7411 , 7400	7 in euchromatin of Release 3 genome annotation, of which 2 are full length.	5	594	LTR_retrotransposon	-
invader1	4032	26 in euchromatin of Release 3 genome annotation, of which 1 is full length.	-	-	LTR_retrotransposon	-
invader2	5124	10 in euchromatin of Release 3 genome annotation, of which 3 are full length.	-	-	LTR_retrotransposon	-
invader3	5484	16 in euchromatin of Release 3 genome annotation, of which 3 are full length.	4	-	LTR_retrotransposon	-
invader4	3105	9 in euchromatin of Release 3 genome annotation, of which 2 are full length.	-	-	LTR_retrotransposon	-
invader5	4038	6 in euchromatin of Release 3 genome annotation, of which zero are full length.	-	-	LTR_retrotransposon	-
invader6	-	-	4	-	LTR_retrotransposon	-
McClintock	6450	2 in euchromatin of Release 3 genome annotation, both full length.	-	-	LTR_retrotransposon	-
mdg1	7480 , 7.3kb	TE copies retrieved from release 5.1 of the D. melanogaster genome.:42 , 25 in euchromatin of Release 3 genome annotation, of which 13 are full length. , 25 (Ilyin et al.)	4	442	LTR_retrotransposon	-
mdg3	5519 , 5.4kb	16 in euchromatin of Release 3 genome annotation, of which 8 are full length. , 15 (Ilyin et al., 1980a)	4	267	LTR_retrotransposon	-
micropia	5457 , 5.5kb	5 in euchromatin of Release 3 genome annotation, of which 2 are full length.	4	505	LTR_retrotransposon	-
ninja-Dsim-like	-	-	-	-	LTR_retrotransposon	-
opus	7521 , 7528 , 8kb	TE copies retrieved from release 5.1 of the D. melanogaster genome.:25 , 24 in euchromatin of Release 3 genome annotation, of which 16 are full length. , 10-15	4 , 6	519	LTR_retrotransposon	-
Quasimodo	7387	14 in euchromatin of Release 3 genome annotation, of which 5 are full length.	4	-	LTR_retrotransposon	-
R1-2	-	-	-	-	LTR_retrotransposon	-
roo	9092 , 8.7kb	146 in euchromatin of Release 3 genome annotation, of which 58 are full length. , 80 (Scherer et al., 1982)	5	429	LTR_retrotransposon	-
rooA	7621	5 in euchromatin of Release 3 genome annotation, of which zero are full length.	13	-	LTR_retrotransposon	-
rover	7318	6 in euchromatin of Release 3 genome annotation, of which 3 are full length.	4	-	LTR_retrotransposon	-
springer	7546 , 8.8kb	11 in euchromatin of Release 3 genome annotation, of which 5 are full length. , 6 (Karlik and Fyrberg, 1985)	6	405	LTR_retrotransposon	-
Stalker	7256	12 in euchromatin of Release 3 genome annotation, of which 3 are full length. , TE copies retrieved from release 5.1 of the D. melanogaster genome.:18	-	-	LTR_retrotransposon	-
