#SUBMITTED ID	COMPLETE_ELEMENT	COPY_NUMBER_AND_COMMENTS	SIZE	TERMINAL_REPEAT	TRANSPOSON_TYPE
roo	9092 , 8.7kb	146 in euchromatin of Release 3 genome annotation, of which 58 are full length. , 80 (Scherer et al., 1982)	5	429	LTR_retrotransposon ; SO:0000186 , transposable_element ; SO:0000101
Dmel\S-element	Approximately 1736 bp. , 1736	14 , 51 in euchromatin of Release 3 genome annotation, of which 14 are full length.	2	234 bp. , 203	terminal_inverted_repeat_element ; SO:0000208 , transposable_element ; SO:0000101
diver	6112	9 in euchromatin of Release 3 genome annotation, of which all are full length. , 7	-	-	LTR_retrotransposon ; SO:0000186 , transposable_element ; SO:0000101
flea	5034 , 4.8kb	17 in euchromatin of Release 3 genome annotation, of which 13 are full length. , 30	-	-	LTR_retrotransposon ; SO:0000186 , transposable_element ; SO:0000101
Circe	7450	6356 in euchromatin of Release 3 genome annotation, of which 2 are full length.	-	240	LTR_retrotransposon ; SO:0000186 , transposable_element ; SO:0000101
Dmel\I-element	5371 , to 5.4kb	28 in euchromatin of Release 3 genome annotation, of which 8 are full length. , 0-10 complete elements plus about 30 incomplete elements (Bucheton et al.).	12, variable	-	non_LTR_retrotransposon ; SO:0000189 , transposable_element ; SO:0000101
Porto1	-	-	-	-	transposable_element ; SO:0000101 , non_LTR_retrotransposon ; SO:0000189
Dmel\Doc3-element	4740	9 in euchromatin of Release 3 genome annotation, of which zero are full length.	-	-	non_LTR_retrotransposon ; SO:0000189 , transposable_element ; SO:0000101
BS	5142	29 in euchromatin of Release 3 genome annotation, of which 6 are full length. , 15	8	-	non_LTR_retrotransposon ; SO:0000189 , transposable_element ; SO:0000101
Rt1c	5443	17 in euchromatin of Release 3 genome annotation, of which 1 is full length.	-	-	non_LTR_retrotransposon ; SO:0000189 , transposable_element ; SO:0000101
Xanthias	4533	-	-	206	LTR_retrotransposon ; SO:0000186 , transposable_element ; SO:0000101
looper1	1881	3 in euchromatin of Release 3 genome annotation, of which zero are full length.	-	-	terminal_inverted_repeat_element ; SO:0000208 , transposable_element ; SO:0000101
